2020/01/18 23:21:55 [alert] 6#6: *829 sendfile() reported that "/var/www/symfony/public/build/app.css" was truncated at 594273 while sending response to client, client: 172.20.0.1, server: localhost, request: "GET /build/app.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 18:44:01 [alert] 9#9: *330 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 11009 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 18:44:06 [alert] 9#9: *328 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 11009 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 18:44:06 [alert] 9#9: *329 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 11009 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 18:44:19 [alert] 9#9: *335 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 11009 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 18:44:20 [alert] 9#9: *336 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 11009 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/20 19:03:05 [alert] 9#9: *443 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 10884 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/21 19:06:31 [alert] 10#10: *663 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 43999 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2020/01/21 19:06:41 [alert] 10#10: *666 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 43999 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2020/01/21 19:06:41 [alert] 10#10: *661 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 43999 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2020/01/21 19:06:47 [alert] 10#10: *675 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 43999 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
